Ticker Name,Company Name,Stock price
A,Agilent Technologies Inc.,48.17
AAL,American Airlines Group Inc.,49.91
AAP,Advance Auto Parts Inc.,165.5
AAPL,Apple Inc.,121.84
ABBV,AbbVie Inc.,61.2
ABC,AmerisourceBergen Corp.,83.64
ABT,Abbott Laboratories,40.73
ACN,Accenture PLC Cl A,115.93
ADBE,Adobe Systems Inc.,112.88
ADI,Analog Devices Inc.,74.2
ADM,Archer Daniels Midland Co.,44.25
ADP,Automatic Data Processing Inc.,102.1
ADS,Alliance Data Systems Corp.,221.7
ADSK,Autodesk Inc.,81.64
AEE,Ameren Corp.,52.08
AEP,American Electric Power Co. Inc.,62.81
AES,AES Corp.,11.22
AET,Aetna Inc.,118.13
AFL,AFLAC Inc.,70.56
AGN,Allergan PLC,210.5
AIG,American International Group Inc.,66.02
AIV,Apartment Investment & Management Co.,44.46
AIZ,Assurant Inc.,98.88
AJG,Arthur J. Gallagher & Co.,53.79
AKAM,Akamai Technologies Inc.,67.75
ALB,Albemarle Corp.,95.98
ALK,Alaska Air Group Inc.,95.9
ALL,Allstate Corp.,75.48
ALLE,Allegion PLC,65.9
ALXN,Alexion Pharmaceuticals Inc.,128.26
AMAT,Applied Materials Inc.,33.99
AME,Ametek Inc.,52.18
AMG,Affiliated Managers Group Inc.,144.47
AMGN,Amgen Inc.,153
AMP,Ameriprise Financial Inc.,116.12
AMT,American Tower REIT,104.3
AMZN,Amazon.com Inc.,834.75
AN,AutoNation Inc.,52.86
ANTM,Anthem Inc.,152.3
AON,Aon PLC,112.95
APA,Apache Corp.,62.03
APC,Anadarko Petroleum Corp.,71.14
APD,Air Products & Chemicals Inc.,149.2
APH,Amphenol Corp. Cl A,66.64
ARNC,Arconic Inc.,22.8
ATVI,Activision Blizzard Inc.,39.47
AVB,Avalonbay Communities Inc.,174.21
AVGO,Broadcom Ltd.,204.17
AVY,Avery Dennison Corp.,73.34
AWK,American Water Works Co.,70.05
AXP,American Express Co.,77
AYI,Acuity Brands Inc.,212.02
AZO,AutoZone Inc.,729.06
BA,Boeing Co.,169
BAC,Bank of America Corp.,23.4
BAX,Baxter International Inc.,46.05
BBBY,Bed Bath & Beyond Inc.,40.4
BBT,BB&T Corp.,47.21
BBY,Best Buy Co. Inc.,45.23
BCR,C.R. Bard Inc.,229
BDX,Becton Dickinson & Co.,171.09
BEN,Franklin Resources Inc.,40.77
BHI,Baker Hughes Inc.,63.2
BIIB,Biogen Inc.,279.99
BK,Bank of New York Mellon Corp.,45
BLK,BlackRock Inc.,379.42
BLL,Ball Corp.,76.36
BMY,Bristol-Myers Squibb Co.,46.94
BSX,Boston Scientific Corp.,23.42
BWA,BorgWarner Inc.,40.78
BXP,Boston Properties Inc.,131.35
C,Citigroup Inc.,57.36
CA,CA Inc.,31.75
CAG,Conagra Brands Inc.,39.19
CAH,Cardinal Health Inc.,71.99
CAT,Caterpillar Inc.,97.22
CB,Chubb Ltd.,133
CBG,CBRE Group Inc. Cl A,31.01
CBS,CBS Corp. Cl B,64.16
CCI,Crown Castle International Corp.,87.95
CCL,Carnival Corp.,57.15
CELG,Celgene Corp.,111.9
CERN,Cerner Corp.,52.4
CF,CF Industries Holdings Inc.,36.1
CFG,Citizens Financial Group Inc.,37.54
CHD,Church & Dwight Co.,47
CHK,Chesapeake Energy Corp.,7.12
CHRW,C.H. Robinson Worldwide Inc.,75.75
CHTR,Charter Communications Inc. Cl A,333.42
CI,Cigna Corp.,146.7
CINF,Cincinnati Financial Corp.,70.68
CL,Colgate-Palmolive Co.,68.34
CLX,Clorox Co.,121.65
CMA,Comerica Inc.,69.58
CMCSA,Comcast Corp. Cl A,75.5
CME,CME Group Inc. Cl A,120.74
CMG,Chipotle Mexican Grill Inc.,418.3
CMI,Cummins Inc.,148.62
CMS,CMS Energy Corp.,41.96
